                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1727,                 1.4369,                 1.5354,                0.73632,                0.55159,                0.60237,                0.28794,                 1.9432,                 1.6179,                 2.1253,             0.00024747,             0.00024747,             0.00024747
                     35,                 1.1784,                 1.4202,                 1.5404,                0.75761,                0.56859,                0.61566,                0.31436,                 1.7954,                 1.4757,                 2.0083,             0.00023334,             0.00023334,             0.00023334
                     36,                 1.1526,                 1.3963,                 1.5211,                0.77042,                 0.5629,                0.61247,                0.29833,                 1.8831,                 1.5167,                 2.0803,              0.0002192,              0.0002192,              0.0002192
                     37,                 1.1592,                 1.3857,                 1.5184,                 0.7575,                0.58127,                0.62839,                0.31626,                 1.8162,                 1.4971,                 2.0123,             0.00020506,             0.00020506,             0.00020506
                     38,                  1.143,                   1.37,                 1.5105,                0.81822,                0.55864,                0.62835,                0.32182,                 1.8069,                 1.4091,                  2.001,             0.00019092,             0.00019092,             0.00019092
                     39,                 1.1292,                 1.3452,                 1.4976,                0.74473,                0.56695,                0.61532,                0.29687,                 1.8704,                 1.5153,                 2.0788,             0.00017679,             0.00017679,             0.00017679
                     40,                 1.1418,                 1.3317,                 1.4961,                0.77806,                0.59008,                0.63944,                0.31578,                 1.8626,                 1.4666,                 2.0443,             0.00016265,             0.00016265,             0.00016265
                     41,                 1.1379,                 1.2419,                 1.4931,                 0.7956,                0.57637,                0.64958,                0.33519,                 1.7812,                 1.3791,                 1.9749,             0.00014851,             0.00014851,             0.00014851
                     42,                   1.12,                 1.2108,                 1.4832,                0.81336,                0.59533,                0.65728,                0.34233,                 1.7756,                 1.3503,                 1.9742,             0.00013437,             0.00013437,             0.00013437
                     43,                 1.1175,                 1.1946,                 1.4761,                0.78716,                0.59646,                0.65323,                 0.3445,                 1.7669,                 1.3541,                 1.9658,             0.00012024,             0.00012024,             0.00012024
                     44,                 1.0995,                 1.1549,                 1.4568,                0.81091,                0.61654,                0.66846,                0.35542,                 1.7692,                 1.2907,                 1.9775,              0.0001061,              0.0001061,              0.0001061
                     45,                 1.0835,                 1.1334,                 1.4481,                0.83275,                0.60202,                0.66472,                0.34445,                 1.7775,                 1.2724,                 1.9995,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                 1.0768,                 1.1206,                 1.4452,                0.83607,                0.58932,                0.66463,                 0.3518,                 1.7659,                 1.2916,                 1.9718,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                 1.0541,                 1.0818,                 1.4209,                 0.8395,                0.61131,                 0.6829,                 0.3576,                 1.7665,                 1.2288,                 1.9757,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                 1.0547,                 1.0769,                 1.4192,                0.83807,                0.61032,                0.67805,                 0.3554,                 1.7752,                 1.2406,                 1.9665,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                 1.0412,                 1.0609,                 1.4106,                0.85348,                0.61219,                0.68138,                0.36511,                 1.7515,                 1.2317,                 1.9533,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                 1.0372,                 1.0512,                 1.4079,                0.85905,                0.60538,                 0.6866,                0.36188,                 1.7559,                 1.2199,                 1.9483,             2.1277e-05,             2.1277e-05,             2.1277e-05
