                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
45,1.2628,1.5024,1.6596,0.66444,0.4614,0.5207,0.23812,1.9998,1.7714,2.1368,9.20E-05,9.20E-05,9.20E-05
46,1.2608,1.4901,1.6534,0.64524,0.49522,0.52748,0.24514,1.9859,1.7521,2.1113,7.78E-05,7.78E-05,7.78E-05
47,1.2528,1.4726,1.6487,0.6844,0.46713,0.52697,0.23919,2.0145,1.7188,2.136,6.37E-05,6.37E-05,6.37E-05
48,1.2492,1.4611,1.6466,0.70812,0.48083,0.54985,0.2532,2.0063,1.6887,2.1103,4.96E-05,4.96E-05,4.96E-05
49,1.2392,1.4505,1.6413,0.6906,0.47542,0.5318,0.24836,2.0021,1.6939,2.118,3.54E-05,3.54E-05,3.54E-05
50,1.2355,1.4438,1.6334,0.66599,0.49021,0.5385,0.24199,1.9997,1.6997,2.1181,2.13E-05,2.13E-05,2.13E-05
51,1.2347,1.5986,1.6204,0.61156,0.46972,0.48936,0.23045,2.0128,1.8208,2.1303,0.00023654,0.00023654,0.00023654
52,1.2682,1.6591,1.6478,0.57645,0.4341,0.45409,0.1947,2.119,1.9841,2.2401,0.00046514,0.00046514,0.00046514
53,1.2918,1.6895,1.6682,0.64575,0.38513,0.43844,0.18054,2.1628,2.0164,2.3213,0.00068432,0.00068432,0.00068432
54,1.3214,1.7166,1.6784,0.63609,0.41067,0.46113,0.18086,2.1448,1.9678,2.261,0.00067159,0.00067159,0.00067159
55,1.3113,1.7226,1.6739,0.56275,0.38254,0.39115,0.16193,2.1579,2.3186,2.302,0.00065745,0.00065745,0.00065745
56,1.2957,1.7019,1.6641,0.50934,0.4169,0.42022,0.17881,2.1644,2.0494,2.2829,0.00064331,0.00064331,0.00064331
57,1.3037,1.6929,1.6595,0.59282,0.4082,0.43269,0.18071,2.1016,1.9586,2.2338,0.00062918,0.00062918,0.00062918
58,1.287,1.6789,1.6568,0.56982,0.43422,0.4292,0.18858,2.0816,2.042,2.1936,0.00061504,0.00061504,0.00061504
59,1.2802,1.6727,1.6481,0.67149,0.41079,0.4655,0.20656,2.0749,1.9444,2.1838,0.0006009,0.0006009,0.0006009
60,1.2785,1.6365,1.6385,0.60565,0.42842,0.45624,0.18653,2.1078,1.97,2.2045,0.00058677,0.00058677,0.00058677
61,1.2703,1.6203,1.6331,0.67028,0.42095,0.47738,0.21019,2.0474,1.8784,2.1656,0.00057263,0.00057263,0.00057263
62,1.2728,1.6019,1.627,0.70255,0.41635,0.47811,0.19447,2.1618,1.922,2.3129,0.00055849,0.00055849,0.00055849
63,1.2486,1.577,1.6128,0.73343,0.46256,0.52602,0.22117,2.1111,1.7385,2.2105,0.00054435,0.00054435,0.00054435
64,1.2509,1.566,1.6076,0.63685,0.46227,0.50036,0.20847,2.134,1.8454,2.2456,0.00053022,0.00053022,0.00053022
65,1.2434,1.5464,1.6002,0.6325,0.49411,0.51421,0.23882,2.0113,1.7805,2.1383,0.00051608,0.00051608,0.00051608
66,1.2314,1.5442,1.5946,0.60952,0.45467,0.48474,0.20098,2.1053,1.8222,2.2142,0.00050194,0.00050194,0.00050194
67,1.2318,1.5183,1.5828,0.66561,0.47914,0.51653,0.22158,2.0406,1.7556,2.1711,0.0004878,0.0004878,0.0004878
68,1.226,1.4951,1.5792,0.69786,0.49782,0.53081,0.23143,2.077,1.7156,2.1962,0.00047367,0.00047367,0.00047367
69,1.2216,1.5077,1.5853,0.73001,0.47812,0.53239,0.23444,2.0254,1.6918,2.1575,0.00045953,0.00045953,0.00045953
70,1.2003,1.4504,1.5607,0.79037,0.48594,0.56097,0.25501,1.9893,1.6372,2.0962,0.00044539,0.00044539,0.00044539
71,1.1951,1.4662,1.5625,0.70664,0.48932,0.54574,0.23555,2.0246,1.6399,2.1588,0.00043126,0.00043126,0.00043126
72,1.1995,1.4519,1.5589,0.73172,0.47506,0.53491,0.24803,2.0029,1.6758,2.1076,0.00041712,0.00041712,0.00041712
73,1.188,1.4249,1.5522,0.71048,0.51332,0.5587,0.2491,2.0338,1.6355,2.134,0.00040298,0.00040298,0.00040298
74,1.1904,1.4163,1.5481,0.67834,0.49681,0.53881,0.25352,1.9536,1.6467,2.0545,0.00038884,0.00038884,0.00038884
75,1.1882,1.3976,1.5364,0.71692,0.51888,0.56993,0.25139,1.9852,1.5821,2.1103,0.00037471,0.00037471,0.00037471
76,1.1751,1.3832,1.5371,0.71693,0.52793,0.56755,0.26779,1.9686,1.544,2.0755,0.00036057,0.00036057,0.00036057
